,Parameter,Median,CI,CI_low,CI_high,Direction,Significance,Large,mod
81,b_Forest_patch_area,0.001104355,0.95,-0.000476752425,0.0026810995,0.915083333333333,0,0,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
71,b_Forest_coverage_2007,-10.29515,0.95,-15.6894675,-4.8132395,1,0.999916666666667,0.998416666666667,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
31,b_bio2,-2.698805,0.95,-6.284175,0.8317578,0.93425,0.907333333333333,0.6555,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
41,b_bio6,-0.5690435,0.95,-4.0740415,2.89980025,0.626916666666667,0.55425,0.20725,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
51,b_bio7,0.79205,0.95,-3.0155725,4.6316505,0.652666666666667,0.590583333333333,0.265,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
17,b_bio15,-0.1647225,0.95,-0.505314775,0.181608775,0.834,0.165333333333333,0,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
21,b_bio17,-0.0179384,0.95,-0.043860465,0.0086220315,0.9075,0,0,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
61,b_elevation,0.0090137,0.95,-0.00908139125,0.02700183,0.8345,0,0,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
161,b_sampling_effort,-3.85306,0.95,-10.9268075,3.03630475,0.860083333333333,0.838833333333333,0.7,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
131,b_nslongitudinal_eingevectordfEQ31,-2.617975,0.95,-10.8859875,5.53938875,0.736666666666667,0.708333333333333,0.562,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
141,b_nslongitudinal_eingevectordfEQ32,-5.458695,0.95,-16.6846225,5.88856125,0.824833333333333,0.80925,0.727083333333333,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
151,b_nslongitudinal_eingevectordfEQ33,1.931885,0.95,-9.48835,13.6150675,0.63425,0.61225,0.495833333333333,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
101,b_nslatitudinal_eingevectordfEQ31,-3.75342,0.95,-7.964387,0.474646375,0.959666666666667,0.945583333333333,0.797833333333333,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
111,b_nslatitudinal_eingevectordfEQ32,-4.142365,0.95,-16.8503575,8.33989875,0.745416666666667,0.7285,0.636583333333333,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
121,b_nslatitudinal_eingevectordfEQ33,5.12136,0.95,-1.21310225,11.3183275,0.943833333333333,0.932916666666667,0.835416666666667,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
92,b_Intercept,0.1891885,0.95,-0.94043305,1.290864,0.626916666666667,0.6245,0.615166666666667,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
82,b_Forest_patch_area,1.76435e-05,0.95,4.6800845e-06,3.10544475e-05,0.994833333333333,0,0,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
72,b_Forest_coverage_2007,-0.1358575,0.95,-0.18485545,-0.0876977975,1,1,1,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
32,b_bio2,-0.0278402,0.95,-0.0600734975,0.00385439524999998,0.957,0.938833333333333,0.7335,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
42,b_bio6,0.03031885,0.95,-0.0103335175,0.0728184525,0.927166666666667,0.907583333333333,0.731166666666667,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
52,b_bio7,0.0274421,0.95,-0.01548639,0.07147605,0.899333333333333,0.872333333333333,0.675416666666667,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
18,b_bio15,-0.00111588,0.95,-0.00440248475,0.0020758665,0.750666666666667,0.139666666666667,0,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
22,b_bio17,8.508225e-05,0.95,-0.00017848905,0.000356715675,0.739083333333333,0,0,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
62,b_elevation,0.0002146635,0.95,4.56253400000001e-06,0.000430963725,0.97775,0,0,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
162,b_sampling_effort,-0.07995175,0.95,-0.140996175,-0.0187872,0.995333333333333,0.993916666666667,0.977333333333333,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
132,b_nslongitudinal_eingevectordfEQ31,0.1144595,0.95,0.0153256975,0.21550695,0.988333333333333,0.986,0.97225,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
142,b_nslongitudinal_eingevectordfEQ32,0.114181,0.95,-0.0354683,0.270824525,0.93175,0.927083333333333,0.8975,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
152,b_nslongitudinal_eingevectordfEQ33,0.0848633,0.95,-0.059875055,0.2362435,0.874416666666667,0.86425,0.820166666666667,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
102,b_nslatitudinal_eingevectordfEQ31,-0.04597415,0.95,-0.0866437225,-0.00400756175,0.9845,0.979,0.910166666666667,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
112,b_nslatitudinal_eingevectordfEQ32,-0.131302,0.95,-0.2816743,0.01400395,0.960166666666667,0.95625,0.933583333333333,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
122,b_nslatitudinal_eingevectordfEQ33,-0.01202845,0.95,-0.0779543775,0.051958585,0.641416666666667,0.608166666666667,0.43275,"mod_levdata_10a_only_threshold10_BetaDiv_jac_splines
"
93,b_Intercept,36.4001,0.95,-37.7865875,111.37705,0.834333333333333,0.832833333333333,0.8255,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
83,b_Forest_patch_area,0.0007765875,0.95,-0.000388969225,0.00190150175,0.909666666666667,0,0,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
73,b_Forest_coverage_2007,-7.250435,0.95,-11.3126175,-3.1456485,0.999916666666667,0.99975,0.997583333333333,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
33,b_bio2,-2.167275,0.95,-4.76830125,0.49101875,0.942166666666667,0.919083333333333,0.704416666666667,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
43,b_bio6,-0.8318425,0.95,-3.699467,2.00249575,0.71475,0.65525,0.33925,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
53,b_bio7,0.353397,0.95,-2.75154825,3.360166,0.58825,0.529083333333333,0.2405,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
19,b_bio15,-0.1031185,0.95,-0.362383525,0.151998925,0.78475,0.15425,0,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
23,b_bio17,-0.009847195,0.95,-0.03082453,0.0105727225,0.827166666666667,0,0,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
63,b_elevation,0.00342941,0.95,-0.0112968025,0.0178661025,0.68225,0,0,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
163,b_sampling_effort,-3.37349,0.95,-8.50293075,1.813941,0.901166666666667,0.885,0.7665,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
133,b_nslongitudinal_eingevectordfEQ31,-0.728833,0.95,-7.47592,6.0917695,0.58275,0.553833333333333,0.422583333333333,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
143,b_nslongitudinal_eingevectordfEQ32,-2.92153,0.95,-12.5808525,6.84720975,0.724,0.707583333333333,0.6195,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
153,b_nslongitudinal_eingevectordfEQ33,2.592505,0.95,-6.7951155,12.359395,0.704416666666667,0.688333333333333,0.597916666666667,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
103,b_nslatitudinal_eingevectordfEQ31,-2.83052,0.95,-5.95954275,0.3894244,0.959083333333333,0.9425,0.799333333333333,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
113,b_nslatitudinal_eingevectordfEQ32,-3.249505,0.95,-13.639535,7.0703205,0.734416666666667,0.71925,0.63875,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
123,b_nslatitudinal_eingevectordfEQ33,3.519965,0.95,-1.37206625,8.44193725,0.920416666666667,0.905416666666667,0.799666666666667,"mod_levdata_10a_only_threshold10_Rich_ratio_splines

"
94,b_Intercept,-0.03617015,0.95,-1.242442,1.18751825,0.525333333333333,0.522916666666667,0.511416666666667,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
84,b_Forest_patch_area,2.24312e-05,0.95,8.6243435e-06,3.637669e-05,0.999,0,0,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
74,b_Forest_coverage_2007,-0.1513805,0.95,-0.203782425,-0.0996003875,1,1,1,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
34,b_bio2,-0.03644945,0.95,-0.07120166,-0.00192589000000002,0.981,0.971,0.843916666666667,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
44,b_bio6,0.03533075,0.95,-0.0091531345,0.08028806,0.935583333333333,0.915666666666667,0.75425,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
54,b_bio7,0.03716585,0.95,-0.00994813974999996,0.0838334075,0.938916666666667,0.9195,0.772333333333333,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
110,b_bio15,-0.0001822565,0.95,-0.00369093875,0.00327631325,0.542833333333333,0.04575,0,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
24,b_bio17,0.0001350995,0.95,-0.00015642035,0.00042030035,0.8235,0,0,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
64,b_elevation,0.00025864,0.95,3.10386075e-05,0.000491037275,0.987666666666667,0,0,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
164,b_sampling_effort,-0.07477985,0.95,-0.142340625,-0.00842406675000003,0.987083333333333,0.983666666666667,0.947916666666667,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
134,b_nslongitudinal_eingevectordfEQ31,0.136084,0.95,0.027696155,0.244051775,0.99225,0.991166666666667,0.982666666666667,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
144,b_nslongitudinal_eingevectordfEQ32,0.139888,0.95,-0.0255248775,0.307812225,0.95125,0.946416666666667,0.922083333333333,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
154,b_nslongitudinal_eingevectordfEQ33,0.1135865,0.95,-0.0473487475,0.276495125,0.916,0.910416666666667,0.873833333333333,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
104,b_nslatitudinal_eingevectordfEQ31,-0.04645455,0.95,-0.0904687175,-0.000623347100000004,0.976333333333333,0.968,0.877416666666667,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
114,b_nslatitudinal_eingevectordfEQ32,-0.1854875,0.95,-0.348632075,-0.0261489575000001,0.989416666666667,0.988333333333333,0.979833333333333,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
124,b_nslatitudinal_eingevectordfEQ33,-0.0194087,0.95,-0.08938717,0.0495747875,0.707,0.675666666666667,0.50225,"mod_levdata_10a_sesam_only_BetaDiv_jac_splines


"
95,b_Intercept,19.0878,0.95,-43.8296425,84.22723,0.725,0.7225,0.712083333333333,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
85,b_Forest_patch_area,0.000720338,0.95,-0.000176854325,0.00164291725,0.93925,0,0,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
75,b_Forest_coverage_2007,-5.32891,0.95,-8.52522775,-2.047374,0.999,0.998666666666667,0.99375,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
35,b_bio2,-2.082725,0.95,-4.15972625,0.0113673049999999,0.974416666666667,0.96,0.813,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
45,b_bio6,-0.3188715,0.95,-2.77348375,2.08997675,0.60775,0.547083333333333,0.252166666666667,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
55,b_bio7,0.6700245,0.95,-1.96434925,3.213218,0.701416666666667,0.649583333333333,0.362833333333333,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
115,b_bio15,-0.03191805,0.95,-0.248046275,0.174174175,0.615083333333333,0.0759166666666667,0,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
25,b_bio17,-0.00609822,0.95,-0.0229180025,0.0103437075,0.769416666666667,0,0,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
65,b_elevation,0.00511121,0.95,-0.0076066185,0.0173304075,0.793,0,0,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
165,b_sampling_effort,-2.8084,0.95,-6.945653,1.35145175,0.909416666666667,0.893166666666667,0.782833333333333,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
135,b_nslongitudinal_eingevectordfEQ31,-0.9899805,0.95,-6.9800135,4.69493,0.6325,0.608416666666667,0.48075,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
145,b_nslongitudinal_eingevectordfEQ32,-2.27493,0.95,-10.904625,5.85653275,0.707916666666667,0.693,0.604,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
155,b_nslongitudinal_eingevectordfEQ33,2.493745,0.95,-5.99846425,10.7526075,0.721916666666667,0.708666666666667,0.627333333333333,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
105,b_nslatitudinal_eingevectordfEQ31,-2.74543,0.95,-5.44277575,-0.126581725,0.979583333333333,0.97275,0.882,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
116,b_nslatitudinal_eingevectordfEQ32,-4.306615,0.95,-13.1833125,4.4697915,0.831666666666667,0.8215,0.759916666666667,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
125,b_nslatitudinal_eingevectordfEQ33,2.24769,0.95,-1.9396275,6.20490725,0.85575,0.835166666666667,0.702,"mod_levdata_10a_sesam_only_Rich_ratio_splines

"
96,b_Intercept,0.1472795,0.95,-1.1491475,1.4301935,0.583166666666667,0.581083333333333,0.571166666666667,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
86,b_Forest_patch_area,2.4441e-05,0.95,9.464615e-06,3.9085535e-05,0.998916666666667,0,0,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
76,b_Forest_coverage_2007,-0.149077,0.95,-0.20327735,-0.09470185,1,1,1,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
36,b_bio2,-0.03488045,0.95,-0.0702011525,0.000963266749999983,0.972583333333333,0.960166666666667,0.7955,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
46,b_bio6,0.0266419,0.95,-0.0212424475,0.073761405,0.86275,0.831583333333333,0.608333333333333,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
56,b_bio7,0.0306371,0.95,-0.018302845,0.0800258975,0.88975,0.861833333333333,0.668416666666667,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
117,b_bio15,-0.000346676,0.95,-0.0039755425,0.00329051125,0.578666666666667,0.0565833333333333,0,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
26,b_bio17,0.000148722,0.95,-0.000157098325,0.00045165045,0.8335,0,0,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
66,b_elevation,0.0002193215,0.95,-2.353361e-05,0.000461172,0.961,0,0,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
166,b_sampling_effort,-0.07602825,0.95,-0.145682425,-0.00694397025,0.983916666666667,0.979083333333333,0.945166666666667,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
136,b_nslongitudinal_eingevectordfEQ31,0.138565,0.95,0.0262465825,0.25300195,0.99125,0.990166666666667,0.98,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
146,b_nslongitudinal_eingevectordfEQ32,0.1365395,0.95,-0.038827305,0.309569475,0.937083333333333,0.931833333333333,0.903916666666667,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
156,b_nslongitudinal_eingevectordfEQ33,0.126225,0.95,-0.04171296,0.2950656,0.930166666666667,0.925083333333333,0.890083333333333,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
106,b_nslatitudinal_eingevectordfEQ31,-0.0375085,0.95,-0.08335697,0.00936996174999998,0.942666666666667,0.925083333333333,0.768583333333333,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
118,b_nslatitudinal_eingevectordfEQ32,-0.1817695,0.95,-0.34849395,-0.017035025,0.98475,0.9835,0.973,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
126,b_nslatitudinal_eingevectordfEQ33,-0.0143124,0.95,-0.0864880375,0.059322975,0.644666666666667,0.611333333333333,0.434166666666667,mod_levdata_10a_threshold10_and_sesam_BetaDiv_jac_splines
97,b_Intercept,15.50125,0.95,-45.7439375,75.9119,0.694583333333333,0.692916666666667,0.681666666666667,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
87,b_Forest_patch_area,0.0006280875,0.95,-0.00019604955,0.00146685025,0.933416666666667,0,0,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
77,b_Forest_coverage_2007,-4.635865,0.95,-7.59006175,-1.64392975,0.998666666666667,0.997833333333333,0.99025,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
37,b_bio2,-2.00128,0.95,-3.955813,-0.03461758,0.977083333333333,0.965666666666667,0.835333333333333,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
47,b_bio6,-0.2552285,0.95,-2.5095855,2.011428,0.586333333333333,0.528583333333333,0.252916666666667,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
57,b_bio7,0.6867715,0.95,-1.73487525,3.10708675,0.709333333333333,0.662583333333333,0.386583333333333,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
119,b_bio15,-0.02667685,0.95,-0.222301175,0.1631873,0.609416666666667,0.07175,0,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
27,b_bio17,-0.003533805,0.95,-0.019043695,0.01206342,0.671833333333333,0,0,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
67,b_elevation,0.00467136,0.95,-0.00699390425,0.01624602,0.78125,0,0,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
167,b_sampling_effort,-2.574335,0.95,-6.3789835,1.24761175,0.903166666666667,0.89,0.786666666666667,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
137,b_nslongitudinal_eingevectordfEQ31,-0.439232,0.95,-5.8002265,5.0162735,0.561833333333333,0.539583333333333,0.415416666666667,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
147,b_nslongitudinal_eingevectordfEQ32,-1.45928,0.95,-9.307739,6.50193725,0.638333333333333,0.623916666666667,0.544416666666667,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
157,b_nslongitudinal_eingevectordfEQ33,3.08312,0.95,-4.66481675,10.9291125,0.780833333333333,0.768166666666667,0.697666666666667,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
107,b_nslatitudinal_eingevectordfEQ31,-2.486515,0.95,-4.8814555,-0.0311546000000005,0.975833333333333,0.968333333333333,0.878583333333333,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
1110,b_nslatitudinal_eingevectordfEQ32,-3.9475,0.95,-12.15221,4.2575075,0.83225,0.82,0.761,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
127,b_nslatitudinal_eingevectordfEQ33,1.84646,0.95,-1.94681675,5.5726985,0.829666666666667,0.80625,0.664333333333333,"mod_levdata_10a_threshold10_and_sesam_Rich_ratio_splines
"
98,b_Intercept,-0.0584412,0.95,-1.28419225,1.1651925,0.541083333333333,0.53825,0.526666666666667,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
88,b_Forest_patch_area,2.265875e-05,0.95,8.475557e-06,3.721729e-05,0.99875,0,0,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
78,b_Forest_coverage_2007,-0.1502585,0.95,-0.2026702,-0.0971947325,1,1,1,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
38,b_bio2,-0.0381807,0.95,-0.07206621,-0.003298893,0.98475,0.975416666666667,0.85725,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
48,b_bio6,0.0357814,0.95,-0.00962018674999999,0.081333025,0.939,0.921666666666667,0.765666666666667,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
58,b_bio7,0.03904535,0.95,-0.00882206375,0.0852658899999999,0.946333333333333,0.928083333333333,0.792666666666667,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
120,b_bio15,-0.000159261,0.95,-0.003657148,0.003393698,0.537416666666667,0.0433333333333333,0,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
28,b_bio17,0.0001361325,0.95,-0.000159813,0.0004306895,0.81875,0,0,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
68,b_elevation,0.000263785,0.95,3.16211075e-05,0.0004967163,0.986333333333333,0,0,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
168,b_sampling_effort,-0.0750511,0.95,-0.141489375,-0.0086799915,0.98625,0.983416666666667,0.950166666666667,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
138,b_nslongitudinal_eingevectordfEQ31,0.137877,0.95,0.0290830825,0.24838915,0.993083333333333,0.991916666666667,0.98325,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
148,b_nslongitudinal_eingevectordfEQ32,0.1479815,0.95,-0.0224756249999999,0.314263475,0.956916666666667,0.951333333333333,0.932833333333333,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
158,b_nslongitudinal_eingevectordfEQ33,0.1159995,0.95,-0.04722992,0.277253,0.916833333333333,0.910416666666667,0.8745,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
108,b_nslatitudinal_eingevectordfEQ31,-0.0472882,0.95,-0.09282578,-0.00277726275,0.98075,0.973333333333333,0.893833333333333,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
1111,b_nslatitudinal_eingevectordfEQ32,-0.1898955,0.95,-0.353720425,-0.0300317075,0.989416666666667,0.987833333333333,0.981416666666667,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
128,b_nslatitudinal_eingevectordfEQ33,-0.02014445,0.95,-0.090746505,0.0489192775,0.710666666666667,0.680166666666667,0.508666666666667,"mod_levdata_10a_thresholmin_and_sesam_BetaDiv_jac_splines

"
99,b_Intercept,18.0099,0.95,-46.5608025,81.8371525,0.719583333333333,0.71725,0.708916666666667,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
89,b_Forest_patch_area,0.000706132,0.95,-0.0002106738,0.001616521,0.937416666666667,0,0,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
79,b_Forest_coverage_2007,-5.247815,0.95,-8.46870625,-2.01261125,0.999,0.99825,0.993583333333333,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
39,b_bio2,-2.094485,0.95,-4.17940575,0.01508898,0.973833333333333,0.96125,0.81775,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
49,b_bio6,-0.2904335,0.95,-2.70519825,2.110752,0.598583333333333,0.53525,0.243666666666667,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
59,b_bio7,0.6987915,0.95,-1.83730025,3.218898,0.708333333333333,0.66,0.371166666666667,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
129,b_bio15,-0.0353803,0.95,-0.241507025,0.180468325,0.62675,0.0756666666666667,0,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
29,b_bio17,-0.005775955,0.95,-0.0223092075,0.01077854,0.752416666666667,0,0,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
69,b_elevation,0.00518482,0.95,-0.00718948,0.01764243,0.799666666666667,0,0,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
169,b_sampling_effort,-2.801415,0.95,-6.8817,1.34996675,0.905916666666667,0.890333333333333,0.790166666666667,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
139,b_nslongitudinal_eingevectordfEQ31,-0.9406815,0.95,-6.454558,4.77828575,0.618416666666667,0.593833333333333,0.473583333333333,"mod_levdata_10a_thresholmin_and_sesam_Rich_ratio_splines


"
